Lista de Productos,Precios,Descuento,Marca,Supermercado,Lista de Productos Normalizados,Cluster,Nombre Cluster
chifles norteños milys 250g,S/10.20,0,Milys,Metro,chifl norteñ milys 250g,0,"sals, bols, chocolat"
harina sin preparar nicolini 1kg,S/6.00,0,Nicolini,Metro,harin prepar nicolini 1kg,0,"sals, bols, chocolat"
salsa de soya con ajo y kión kikko 350ml,S/4.70,0,Kikko,Metro,sals soy ajo kion kikk 350ml,0,"sals, bols, chocolat"
sillau #06 kikko botella 350 ml,S/3.50,0,Kikko,Metro,sillau # 06 kikk botell 350 ml,0,"sals, bols, chocolat"
manjarblanco bazo velarde 200g,S/4.65,0,Bazo Velarde,Metro,manjarblanc baz velard 200g,8,"200g, past, cuisin"
maizena universal bolsa 180 g,S/3.60,0,Universal,Metro,maizen universal bols 180 g,0,"sals, bols, chocolat"
crema de leche nestlé lata 300 g,S/10.90,0,Nestlé,Metro,crem lech nestl lat 300 g,0,"sals, bols, chocolat"
salsa a la bolognesa molitalia pomarola 170g,S/4.40,0,Molitalia,Metro,sals bolognes molitali pomarol 170g,0,"sals, bols, chocolat"
manjar blanco bonlé bolsa 200 g - manjar bonle x 200,S/4.40,0,Bonlé,Metro,manj blanc bonl bols 200 g - manj bonl x 200,0,"sals, bols, chocolat"
crema instantánea maggi sabor espárragos 65g,S/3.40,12 %,Maggi,Metro,crem instantane maggi sabor esparrag 65g,9,"sabor, instantane, sop"
galleta integrales costa six pack,S/5.00,0,Costa,Metro,gallet integral cost six pack,2,"gallet, sixpack, 47g"
galletas con quinua y frutos rojos incasur caja 6 unid bolsa 30 gr,S/8.00,6 %,Incasur,Metro,gallet quinu frut roj incasur caj 6 unid bols 30 gr,0,"sals, bols, chocolat"
crema de leche uht gloria bolsa 946 ml,S/22.90,20 %,Gloria,Metro,crem lech uht glori bols 946 ml,0,"sals, bols, chocolat"
pudín de chocolate en polvo royal bolsa 110 g,S/2.80,20 %,Royal,Metro,pudin chocolat polv royal bols 110 g,10,"gelatin, universal, polv"
mazamorra morada en polvo royal bolsa 140 g,S/2.71,20 %,Royal,Metro,mazamorr mor polv royal bols 140 g,10,"gelatin, universal, polv"
flan universal vainilla 150g,S/4.60,0,Universal,Metro,flan universal vainill 150g,10,"gelatin, universal, polv"
gelatina universal de limón sobre 130g,S/3.75,0,Universal,Metro,gelatin universal limon 130g,10,"gelatin, universal, polv"
gelatina en polvo sabor a limón royal sobre 160 g,S/3.00,20 %,Royal,Metro,gelatin polv sabor limon royal 160 g,10,"gelatin, universal, polv"
gelatina en polvo sabor a cereza royal sobre 160 g,S/3.00,20 %,Royal,Metro,gelatin polv sabor cerez royal 160 g,10,"gelatin, universal, polv"
gelatina diet universal naranja caja 19 g,S/3.50,0,Universal,Metro,gelatin diet universal naranj caj 19 g,10,"gelatin, universal, polv"
gelatina sabor limón diet universal 19g,S/3.50,0,Universal,Metro,gelatin sabor limon diet universal 19g,10,"gelatin, universal, polv"
vinagre tinto venturo botella plástica 600 ml,S/5.20,0,Venturo,Metro,vinagr tint ventur botell plastic 600 ml,0,"sals, bols, chocolat"
tuco sibarita pack 6 unid x 9.30 g,S/4.60,0,Sibarita,Metro,tuc sibarit pack 6 unid x 9.30 g,4,"sibarit, mol, sazon"
sazonador ajinomoto sobre 250 g,S/6.70,0,Ajinomoto,Metro,sazon ajinomot 250 g,4,"sibarit, mol, sazon"
salsa ají amarillín sin picante sibarita 93.6g,S/3.68,20 %,Sibarita,Metro,sals aji amarillin picant sibarit 93.6g,4,"sibarit, mol, sazon"
crema de ají y queso alacena huancaína 400g,S/13.90,0,AlaCena,Metro,crem aji ques alacen huancain 400g,0,"sals, bols, chocolat"
crema de rocoto alacena uchucuta 400g,S/13.90,0,AlaCena,Metro,crem rocot alacen uchucut 400g,0,"sals, bols, chocolat"
pimienta negra molida badia frasco 2 onzas,S/9.90,0,Badia,Metro,pimient negr mol badi frasc 2 onzas,4,"sibarit, mol, sazon"
mayonesa kraft real mayo 443ml,S/9.90,47 %,Kraft,Metro,mayones kraft real may 443ml,0,"sals, bols, chocolat"
ketchup heinz doy pack 397 g,S/11.90,0,Heinz,Metro,ketchup heinz doy pack 397 g,0,"sals, bols, chocolat"
clavo de olor entero badia sobre 0.25 onzas,S/4.19,0,Badia,Metro,clav olor enter badi 0.25 onzas,0,"sals, bols, chocolat"
canela molida sibarita sobre 10 g,S/2.30,0,Sibarita,Metro,canel mol sibarit 10 g,4,"sibarit, mol, sazon"
ajo en polvo badia pote 3 oz,S/12.90,0,Badia,Metro,ajo polv badi pot 3 oz,0,"sals, bols, chocolat"
ají panquita sibarita natural sobre 100 g,S/2.50,0,Sibarita,Metro,aji panquit sibarit natural 100 g,4,"sibarit, mol, sazon"
macaroni & cheese kraft original caja 206 g,S/6.80,0,Kraft,Metro,macaroni & chees kraft original caj 206 g,0,"sals, bols, chocolat"
papas ondas picante lays 140g,S/4.90,28 %,Frito Lays,Metro,pap ondas picant lays 140g,0,"sals, bols, chocolat"
maní crocante picante karinto 200g,S/5.50,31 %,Karinto,Metro,man crocant picant karint 200g,8,"200g, past, cuisin"
chifles salados crickets 250g,S/10.30,0,Crickets,Metro,chifl sal crickets 250g,0,"sals, bols, chocolat"
galletas salvado con ajonjolí bolsa 70 g,S/2.80,0,Fibra Light,Metro,gallet salv ajonjol bols 70 g,2,"gallet, sixpack, 47g"
wafers nik costa fresa pack 6un,S/. 4.20,0,Costa,Metro,wafers nik cost fres pack 6un,0,"sals, bols, chocolat"
sixpack galletas oreo cookies and cream 36g,S/3.84,20 %,Oreo,Metro,sixpack gallet ore cooki and cream 36g,2,"gallet, sixpack, 47g"
sixpack galletas oreo sabor vainilla 36g,S/3.84,20 %,Oreo,Metro,sixpack gallet ore sabor vainill 36g,2,"gallet, sixpack, 47g"
sixpack galletas oreo sabor chocolate 36g,S/3.84,20 %,Oreo,Metro,sixpack gallet ore sabor chocolat 36g,2,"gallet, sixpack, 47g"
sixpack galletas marquesitas naranja 46g,S/5.80,0,Victoria,Metro,sixpack gallet marquesit naranj 46g,2,"gallet, sixpack, 47g"
sixpack galletas marquesitas coco 46g,S/5.80,0,Victoria,Metro,sixpack gallet marquesit coc 46g,2,"gallet, sixpack, 47g"
sixpack galletas chomp naranja 42g,S/5.90,0,Victoria,Metro,sixpack gallet chomp naranj 42g,2,"gallet, sixpack, 47g"
sixpack galletas chomp chocolate 42g,S/5.90,0,Victoria,Metro,sixpack gallet chomp chocolat 42g,2,"gallet, sixpack, 47g"
sixpack galletas tentación sabor naranja 47g,S/4.50,0,Victoria,Metro,sixpack gallet tentacion sabor naranj 47g,2,"gallet, sixpack, 47g"
sixpack galletas glacitas chocolate 32g,S/5.00,0,Victoria,Metro,sixpack gallet glacit chocolat 32g,2,"gallet, sixpack, 47g"
sixpack galletas casino lúcuma 47g,S/4.80,0,Victoria,Metro,sixpack gallet casin lucum 47g,2,"gallet, sixpack, 47g"
sixpack galletas casino alfajor 47g,S/4.80,0,Victoria,Metro,sixpack gallet casin alfajor 47g,2,"gallet, sixpack, 47g"
galletas field doña pepa travesuras 50g,S/1.20,20 %,Field,Metro,gallet field doñ pep travesur 50g,2,"gallet, sixpack, 47g"
galletas de agua san jorge nubbe bolsa 110 g,S/2.10,0,San Jorge,Metro,gallet agu san jorg nubb bols 110 g,2,"gallet, sixpack, 47g"
galletas vainiya costa pack 6 unid x 32 g,S/3.99,0,Costa,Metro,gallet vainiy cost pack 6 unid x 32 g,2,"gallet, sixpack, 47g"
pack x6 galleta pícaras la extrema 40g,S/6.20,4 %,Picaras,Metro,pack x6 gallet pic extrem 40g,2,"gallet, sixpack, 47g"
sixpack wafer sublime power 25g,S/6.20,20 %,Sublime,Metro,sixpack waf sublim pow 25g,0,"sals, bols, chocolat"
wafer cua cua mini field bolsa 42 g,S/1.28,20 %,Field,Metro,waf cua cua mini field bols 42 g,0,"sals, bols, chocolat"
galletas soda san jorge paquete 75 g,S/1.60,0,San Jorge,Metro,gallet sod san jorg paquet 75 g,2,"gallet, sixpack, 47g"
beso de moza clásico 9un,S/7.90,29 %,Nestlé,Metro,bes moz clasic 9un,0,"sals, bols, chocolat"
marshmallow con cobertura sabor chocolate olé olé 50un,S/8.50,15 %,Olé Olé,Metro,marshmallow cobertur sabor chocolat ole ole 50un,0,"sals, bols, chocolat"
pastina letras y números don vittorio 235g,S/2.30,0,Don Vittorio,Metro,pastin letr numer don vittori 235g,1,"vittori, don, pastin"
fussilli de verduras la montanara bolsa 500 g,S/7.55,0,La Montanara,Metro,fussilli verdur montan bols 500 g,3,"500, bols, costeñ"
pastina caracol chico don vittorio 235g,S/2.30,0,Don Vittorio,Metro,pastin caracol chic don vittori 235g,1,"vittori, don, pastin"
pastina canuto chico molitalia bolsa 250 g,S/2.10,0,Molitalia,Metro,pastin canut chic molitali bols 250 g,0,"sals, bols, chocolat"
fideos linguine molitalia 450g,S/3.70,5 %,Molitalia,Metro,fide linguin molitali 450g,0,"sals, bols, chocolat"
fetuccini extra huevo la montanara bolsa 500 g,S/7.55,0,La Montanara,Metro,fetuccini extra huev montan bols 500 g,3,"500, bols, costeñ"
lomito de atún real en aceite de oliva tripack de 80 g c/u,S/12.90,0,Real,Metro,lomit atun real aceit oliv tripack 80 g c/u,5,"aceit, atun, vegetal"
sólido de caballa campomar en aceite lata 170 gr,S/5.30,0,Campomar,Metro,sol caball campom aceit lat 170 gr,5,"aceit, atun, vegetal"
cubo sabor carne maggi 8un,S/3.50,22 %,Maggi,Metro,cub sabor carn maggi 8un,9,"sabor, instantane, sop"
aceite de oliva el olivar extra virgen botella 200 ml,S/14.00,0,El Olivar,Metro,aceit oliv oliv extra virg botell 200 ml,5,"aceit, atun, vegetal"
morón americano costeño bolsa 500 g,S/4.60,0,Costeño,Metro,moron american costeñ bols 500 g,3,"500, bols, costeñ"
frijol negro costeño bolsa 500 g,S/6.80,0,Costeño,Metro,frijol negr costeñ bols 500 g,3,"500, bols, costeñ"
frijol red kidney costeño bolsa 500 g,S/6.59,0,Costeño,Metro,frijol red kidney costeñ bols 500 g,3,"500, bols, costeñ"
garbanzos costeño bolsa 500 g,S/6.00,0,Costeño,Metro,garbanz costeñ bols 500 g,3,"500, bols, costeñ"
pallar costeño bolsa 500 g,S/6.90,0,Costeño,Metro,pall costeñ bols 500 g,3,"500, bols, costeñ"
lenteja tesoro del campo bolsa 500 g,S/5.00,0,Tesoro del Campo,Metro,lentej tesor camp bols 500 g,3,"500, bols, costeñ"
aceite sabor original pam spray 6 onzas,S/24.00,0,Pam,Metro,aceit sabor original pam spray 6 onzas,9,"sabor, instantane, sop"
aceite de oliva filippo berio extra virgen 1l,S/. 38.92,25 %,Filippo Berio,Metro,aceit oliv filipp beri extra virg 1l,5,"aceit, atun, vegetal"
aceite de oliva el olivar extra virgen 1l,S/46.90,0,El Olivar,Metro,aceit oliv oliv extra virg 1l,5,"aceit, atun, vegetal"
chicle trident sabor menta 45.5g,S/9.10,0,Trident,Metro,chicl trident sabor ment 45.5g,9,"sabor, instantane, sop"
aceite de ajonjolí olivos del sur 200ml,S/12.90,11 %,Olivos del Sur,Metro,aceit ajonjol oliv sur 200ml,5,"aceit, atun, vegetal"
papas fritas lay's ondas sabor queso 140g,S/4.90,28 %,Frito Lays,Metro,pap frit lay 's ondas sabor ques 140g,9,"sabor, instantane, sop"
chips sabor chocolate winter 200g,S/9.90,0,Winters,Metro,chips sabor chocolat wint 200g,8,"200g, past, cuisin"
fideos cuisine &co spaguetti 450g,S/4.10,0,cuisine---co,Metro,fide cuisin & co spaguetti 450g,6,"cuisin, co, fide"
fideos cuisine &co linguini 950g,S/5.30,1 %,cuisine---co,Metro,fide cuisin & co linguini 950g,6,"cuisin, co, fide"
fideos cuisine &co corbata 450g,S/3.70,0,cuisine---co,Metro,fide cuisin & co corbat 450g,6,"cuisin, co, fide"
premezcla blanca flor keke casero sabor naranja 750g,S/8.65,0,Blanca Flor,Metro,premezcl blanc flor kek caser sabor naranj 750g,9,"sabor, instantane, sop"
arroz superior cuisine & co 5kg,S/. 18.10,0,Cuisine & Co,Metro,arroz superior cuisin & co 5kg,7,"arroz, kg, extra"
arroz extra cuisine & co 5kg,S/. 18.90,2 %,Cuisine & Co,Metro,arroz extra cuisin & co 5kg,7,"arroz, kg, extra"
pimienta negra entera cuisine & co 50g + molinillo,S/11.60,0,cuisine---co,Metro,pimient negr enter cuisin & co 50g + molinill,6,"cuisin, co, fide"
pastina corbata grande don vittorio 225g,S/2.30,0,don-vittorio,Metro,pastin corbat grand don vittori 225g,1,"vittori, don, pastin"
pastina tornillo don vittorio 225g,S/2.30,0,don-vittorio,Metro,pastin tornill don vittori 225g,1,"vittori, don, pastin"
dúo cocktail nueces 150g + mix clásico 150g villa natura,S/17.10,0,villa-natura,Metro,duo cocktail nuec 150g + mix clasic 150g vill natur,0,"sals, bols, chocolat"
dúo cocktail nueces sin sal 150g + mixtura 150g villa natura,S/17.10,0,villa-natura,Metro,duo cocktail nuec sal 150g + mixtur 150g vill natur,0,"sals, bols, chocolat"
sixpack filete de atún en aceite cuisine & co 170g,S/35.40,0,Cuisine & Co,Metro,sixpack filet atun aceit cuisin & co 170g,6,"cuisin, co, fide"
sixpack trozos de atún en aceite cuisine & co 170g,S/32.40,0,Cuisine & Co,Metro,sixpack troz atun aceit cuisin & co 170g,6,"cuisin, co, fide"
tripack menestras cuisine & co 500g: arveja + lentejón + quinua,S/15.90,14 %,Cuisine & Co,Metro,tripack menestr cuisin & co 500g : arvej + lentejon + quinu,11,"500g, maxim, co"
tripack trozos de atún en aceite cuisine & co 170g,S/16.20,0,Cuisine & Co,Metro,tripack troz atun aceit cuisin & co 170g,6,"cuisin, co, fide"
sixpack filete de atún en agua cuisine & co 170g,S/35.40,0,Cuisine & Co,Metro,sixpack filet atun agu cuisin & co 170g,6,"cuisin, co, fide"
tripack menestras máxima 500g: arveja partida + lentejón + quinua,S/13.90,12 %,Máxima,Metro,tripack menestr maxim 500g : arvej part + lentejon + quinu,11,"500g, maxim, co"
tostitos redondos sal 280g,S/8.50,29 %,Frito Lays,Metro,tostit redond sal 280g,0,"sals, bols, chocolat"
pack x9 galleta honey bran field,S/5.84,20 %,Field,Metro,pack x9 gallet honey bran field,2,"gallet, sixpack, 47g"
pack x6 sólido caballa aceite vegetal campomar 170g,S/29.90,0,Campomar,Metro,pack x6 sol caball aceit vegetal campom 170g,5,"aceit, atun, vegetal"
bizcocho mini 20un chocman costa 21g,S/11.90,0,Costa,Metro,bizcoch mini 20un chocm cost 21g,0,"sals, bols, chocolat"
papas lays clásicas 36g,S/2.60,0,Frito Lays,Metro,pap lays clasic 36g,0,"sals, bols, chocolat"
ají pollero 75g,S/4.50,0,Casa Verde,Metro,aji poller 75g,0,"sals, bols, chocolat"
conserva de maíz dulce en agua cuisine & co 241g,S/4.90,16 %,Cuisine & Co,Metro,conserv maiz dulc agu cuisin & co 241g,6,"cuisin, co, fide"
mayonesa alpesa 350g,S/7.60,0,Alpesa,Metro,mayones alpes 350g,0,"sals, bols, chocolat"
mostaza alpesa 190g,S/3.60,0,Alpesa,Metro,mostaz alpes 190g,0,"sals, bols, chocolat"
galleta oreo pack familiar 324g,S/5.60,20 %,Oreo,Metro,gallet ore pack famili 324g,2,"gallet, sixpack, 47g"
galleta ritz family sharing 175.8g,S/3.84,20 %,Ritz,Metro,gallet ritz family sharing 175.8g,2,"gallet, sixpack, 47g"
maíz frito en hojuelas tortees clásico 71g,S/2.70,0,Frito Lays,Metro,maiz frit hojuel tort clasic 71g,0,"sals, bols, chocolat"
tortillas de maíz doritos queso fuego 190g,S/6.50,30 %,Frito Lays,Metro,tortill maiz dorit ques fueg 190g,0,"sals, bols, chocolat"
arroz añejo superior valle norte 5kg,S/. 21.90,0,Valle Norte,Metro,arroz añej superior vall nort 5kg,7,"arroz, kg, extra"
pasta de tomate b & d 200g,S/4.20,0,B&D,Metro,past tomat b & d 200g,8,"200g, past, cuisin"
pasta de tomate b & d 100g,S/2.20,0,B&D,Metro,past tomat b & d 100g,8,"200g, past, cuisin"
palitos sabor a queso cheese tris 140g,S/5.10,0,Frito Lays,Metro,palit sabor ques chees tris 140g,9,"sabor, instantane, sop"
aceite de coco orgánico cuisine & co 350ml,S/25.99,0,Cuisine & Co,Metro,aceit coc organ cuisin & co 350ml,6,"cuisin, co, fide"
ajo en pasta cuisine & co 200g,S/5.90,14 %,Cuisine & Co,Metro,ajo past cuisin & co 200g,8,"200g, past, cuisin"
palillo molillo cuisine & co 15g,S/1.80,0,Cuisine & Co,Metro,palill molill cuisin & co 15g,6,"cuisin, co, fide"
páprika en polvo cuisine & co 15g,S/2.20,0,Cuisine & Co,Metro,paprik polv cuisin & co 15g,6,"cuisin, co, fide"
hongo seco cuisine & co 10g,S/2.90,0,Cuisine & Co,Metro,hong sec cuisin & co 10g,6,"cuisin, co, fide"
orégano entero cuisine & co 8g,S/2.10,0,Cuisine & Co,Metro,oregan enter cuisin & co 8g,6,"cuisin, co, fide"
pack x6 bizcocho relleno caritas 28g,S/. 4.00,0,Costa,Metro,pack x6 bizcoch rellen carit 28g,0,"sals, bols, chocolat"
mayonesa blanca alpesa 400g,S/7.99,0,AlaCena,Metro,mayones blanc alpes 400g,0,"sals, bols, chocolat"
vinagre tinto cuisine & co 500ml,S/2.99,0,Cuisine & Co,Metro,vinagr tint cuisin & co 500ml,6,"cuisin, co, fide"
berry crunch original vallealto 250g,S/8.20,18 %,Vallealto,Metro,berry crunch original vallealt 250g,0,"sals, bols, chocolat"
pimienta negra molida cuisine & co frasco 60g,S/9.30,0,Cuisine & Co,Metro,pimient negr mol cuisin & co frasc 60g,4,"sibarit, mol, sazon"
sal de maras para cocina cuisine & co 500g,S/10.50,0,Cuisine & Co,Metro,sal mar cocin cuisin & co 500g,11,"500g, maxim, co"
salsa blanca completa don vittorio 390g,S/9.30,0,Don Vittorio,Metro,sals blanc complet don vittori 390g,1,"vittori, don, pastin"
gelatina umsha sabor naranja 120g,S/3.50,0,Umsha,Metro,gelatin umsha sabor naranj 120g,10,"gelatin, universal, polv"
pudín umsha sabor chocolate 100g,S/2.50,0,Umsha,Metro,pudin umsha sabor chocolat 100g,9,"sabor, instantane, sop"
chuño umsha 180g,S/3.50,0,Umsha,Metro,chuñ umsha 180g,0,"sals, bols, chocolat"
salsa de mostaza walibí 1kg,S/10.90,0,Walibi,Metro,sals mostaz walib 1kg,0,"sals, bols, chocolat"
ajo en polvo toña 50g,S/9.99,0,Toña,Metro,ajo polv toñ 50g,0,"sals, bols, chocolat"
pimienta negra molida toña 18g,S/3.60,0,Toña,Metro,pimient negr mol toñ 18g,4,"sibarit, mol, sazon"
hongos secos con laurel toña 13g,S/3.40,0,Toña,Metro,hong sec laurel toñ 13g,0,"sals, bols, chocolat"
ajo en pasta envasado 550 g,S/19.80,0,Sibarita,Metro,ajo past envas 550 g,8,"200g, past, cuisin"
tuco sobre 32.4 g,S/1.25,0,Sibarita,Metro,tuc 32.4 g,0,"sals, bols, chocolat"
sazonador sobre gigante 32.4 g,S/1.05,0,Sibarita,Metro,sazon gigant 32.4 g,4,"sibarit, mol, sazon"
kétchup doypack 190 g,S/5.80,0,Heinz,Metro,ketchup doypack 190 g,0,"sals, bols, chocolat"
garbanzos bolsa 500 g,S/7.40,0,Valle Norte,Metro,garbanz bols 500 g,3,"500, bols, costeñ"
lentejón bolsa 350 g,S/4.10,0,Tesoro del Campo,Metro,lentejon bols 350 g,0,"sals, bols, chocolat"
papas al hilo cusine & co 142g,S/5.90,10 %,Cuisine & Co,Metro,pap hil cusin & co 142g,0,"sals, bols, chocolat"
hojuelas de camote tiyapuy bolsa 160 g,S/5.99,0,Tiyapuy,Metro,hojuel camot tiyapuy bols 160 g,0,"sals, bols, chocolat"
mayonesa light hellmann's frasco 154 oz,S/13.60,30 %,Hellmann's,Metro,mayones light hellmann 's frasc 154 oz,0,"sals, bols, chocolat"
caramelos duros de eucalipto y mentol / extra fuerte barra 25 g pack 4 unid,S/4.72,20 %,Halls,Metro,caramel dur eucalipt mentol / extra fuert barr 25 g pack 4 unid,0,"sals, bols, chocolat"
chocolate bitter con maní sublime tableta 40 g caja 8 unid,S/15.50,22 %,Sublime,Metro,chocolat bitt man sublim tablet 40 g caj 8 unid,0,"sals, bols, chocolat"
chocolate con leche con maní sublime sonrisa tableta 40 g caja 8 unid,S/14.90,19 %,Sublime,Metro,chocolat lech man sublim sonris tablet 40 g caj 8 unid,0,"sals, bols, chocolat"
aceite de oliva cuisine & co 250ml,S/11.60,20 %,Cuisine & Co,Metro,aceit oliv cuisin & co 250ml,6,"cuisin, co, fide"
chicle sin azúcar sabor yerbabuena trident caja 18 unid,S/2.88,20 %,Trident,Metro,chicl azuc sabor yerbabuen trident caj 18 unid,9,"sabor, instantane, sop"
chicle sin azúcar sabor menta trident caja 18 unid,S/2.88,20 %,Trident,Metro,chicl azuc sabor ment trident caj 18 unid,9,"sabor, instantane, sop"
palmitos en rodajas cuisine & co lata 400 g,S/6.90,0,Cuisine & Co,Metro,palmit rodaj cuisin & co lat 400 g,6,"cuisin, co, fide"
pepinillos encurtidos cuisine & co pote 510 g,S/8.90,0,Cuisine & Co,Metro,pepinill encurt cuisin & co pot 510 g,6,"cuisin, co, fide"
mix andino bolsa 100 g,S/5.10,0,Cuisine & Co,Metro,mix andin bols 100 g,0,"sals, bols, chocolat"
semillas de girasol cuisine&co pote 200 g,S/7.30,0,Cuisine & Co,Metro,semill girasol cuisin & co pot 200 g,6,"cuisin, co, fide"
mix de nueces y frutas cuisine&co pote 200 g,S/11.20,0,Cuisine & Co,Metro,mix nuec frut cuisin & co pot 200 g,6,"cuisin, co, fide"
cancha chulpi salada cuisine & co bolsa 100 g,S/2.80,0,Cuisine & Co,Metro,canch chulpi sal cuisin & co bols 100 g,6,"cuisin, co, fide"
tortillas de maíz clásica cuisine & co bolsa 150 g,S/4.20,0,Cuisine & Co,Metro,tortill maiz clasic cuisin & co bols 150 g,6,"cuisin, co, fide"
chifles norteños cuisine & co pote 100 g,S/5.28,20 %,Cuisine & Co,Metro,chifl norteñ cuisin & co pot 100 g,6,"cuisin, co, fide"
canchita con chifles cuisine & co pote 180 g,S/6.08,20 %,Cuisine & Co,Metro,canchit chifl cuisin & co pot 180 g,6,"cuisin, co, fide"
chocolate con leche sin azúcar 40% cacao milky la ibérica barra 20 g bolsa 10 unid,S/30.50,0,La Ibérica,Metro,chocolat lech azuc 40 % caca milky iber barr 20 g bols 10 unid,0,"sals, bols, chocolat"
frutos de secos cocktail premium villa natura 250g,S/18.70,0,Villa Natura,Metro,frut sec cocktail premium vill natur 250g,0,"sals, bols, chocolat"
sólido de atún en aceite vegetal cuisine & co 170g,S/5.12,20 %,Cuisine & Co,Metro,sol atun aceit vegetal cuisin & co 170g,5,"aceit, atun, vegetal"
trozos de atún en aceite nicolini 140g,S/6.20,0,Nicolini,Metro,troz atun aceit nicolini 140g,5,"aceit, atun, vegetal"
gelatina sin sabor para repostería universal sobre 7.5 g caja 4 unid,S/5.30,0,Universal,Metro,gelatin sabor repost universal 7.5 g caj 4 unid,10,"gelatin, universal, polv"
polvo de hornear universal sobre 25 g caja 4 unid,S/5.80,0,Universal,Metro,polv horn universal 25 g caj 4 unid,10,"gelatin, universal, polv"
papas fritas amarillas tiyapuy bolsa 160 g,S/. 7.50,0,Tiyapuy,Metro,pap frit amarill tiyapuy bols 160 g,0,"sals, bols, chocolat"
harina de coco doypack 150 g,S/8.20,0,Marimiel,Metro,harin coc doypack 150 g,0,"sals, bols, chocolat"
papas fritas onduladas sabor finas hierbas y lima inka chips bolsa 115 g,S/8.10,0,Inka Chips,Metro,pap frit ondul sabor fin hierb lim inka chips bols 115 g,9,"sabor, instantane, sop"
premium cocktail sin maní original vallealto 250g,S/14.50,18 %,Vallealto,Metro,premium cocktail man original vallealt 250g,0,"sals, bols, chocolat"
salsa verde peruana casa verde 330g,S/13.20,0,Casa Verde,Metro,sals verd peruan cas verd 330g,0,"sals, bols, chocolat"
nueces peladas cuisine & co bolsa 100 gr,S/9.90,0,Cuisine & Co,Metro,nuec pel cuisin & co bols 100 gr,6,"cuisin, co, fide"
salsa tuco cuisine & co doypack 380 g,S/4.56,20 %,Cuisine & Co,Metro,sals tuc cuisin & co doypack 380 g,6,"cuisin, co, fide"
mostaza cuisine & co 200g,S/3.60,20 %,Cuisine & Co,Metro,mostaz cuisin & co 200g,8,"200g, past, cuisin"
cobertura sabor a chocolate bitter negusa caja 600 g,S/16.60,0,Negusa,Metro,cobertur sabor chocolat bitt negus caj 600 g,0,"sals, bols, chocolat"
arroz extra natural gran chalan bolsa 750 gr,S/. 4.30,0,Gran Chalan,Metro,arroz extra natural gran chal bols 750 gr,7,"arroz, kg, extra"
arroz superior natural gran chalan bolsa 5 kg,S/. 21.60,0,Gran Chalan,Metro,arroz superior natural gran chal bols 5 kg,7,"arroz, kg, extra"
harina sin preparar grano de oro paquete 1 kg,S/6.35,0,Grano de Oro,Metro,harin prepar gran oro paquet 1 kg,0,"sals, bols, chocolat"
harina preparada grano de oro paquete 1 kg,S/6.95,0,Grano de Oro,Metro,harin prepar gran oro paquet 1 kg,0,"sals, bols, chocolat"
gomitas frutales mogul 35g,S/1.40,0,Arcor,Metro,gomit frutal mogul 35g,0,"sals, bols, chocolat"
huevito de pascua con praliné jacquot 250g,S/5.90,77 %,Jacquot,Metro,huevit pascu pralin jacquot 250g,0,"sals, bols, chocolat"
aceite de oliva extra virgen cuisine & co 500ml,S/21.52,20 %,Cuisine & Co,Metro,aceit oliv extra virg cuisin & co 500ml,6,"cuisin, co, fide"
chizitos sabor queso 190g,S/6.60,0,Frito Lays,Metro,chizit sabor ques 190g,9,"sabor, instantane, sop"
palillo sibarita 57g,S/2.25,0,Sibarita,Metro,palill sibarit 57g,4,"sibarit, mol, sazon"
chocolate con leche confitado chin chin 50g,S/4.30,0,Chin Chin,Metro,chocolat lech confit chin chin 50g,0,"sals, bols, chocolat"
crema de leche nestlé lata 160 g,S/7.90,0,Nestlé,Metro,crem lech nestl lat 160 g,0,"sals, bols, chocolat"
tallarin instantáneo saltado ajinomen sobre 100 g,S/2.15,0,Ajinomen,Metro,tallarin instantane salt ajinom 100 g,9,"sabor, instantane, sop"
sopa instantánea sabor a carne ajinomen vaso 51 g,S/3.40,0,Ajinomen,Metro,sop instantane sabor carn ajinom vas 51 g,9,"sabor, instantane, sop"
sopa instantánea ajinomen sabor pollo 51g,S/3.40,0,Ajinomen,Metro,sop instantane ajinom sabor poll 51g,9,"sabor, instantane, sop"
papas fritas onduladas saladas cuisine & co bolsa 150 gr,S/6.90,12 %,Cuisine & Co,Metro,pap frit ondul sal cuisin & co bols 150 gr,6,"cuisin, co, fide"
chifles corte delgado cuisine & co bolsa 200 gr,S/7.50,21 %,Cuisine & Co,Metro,chifl cort delg cuisin & co bols 200 gr,6,"cuisin, co, fide"
aceite de canola cuisine & co botella 1 lt,S/14.00,0,Cuisine & Co,Metro,aceit canol cuisin & co botell 1 lt,6,"cuisin, co, fide"
cheetos mega queso frito lay 200g,S/8.30,0,Frito Lays,Metro,cheet meg ques frit lay 200g,8,"200g, past, cuisin"
chupete globo pop fresa bolsa 24 undiades,S/7.70,0,Globo Pop,Metro,chupet glob pop fres bols 24 undiad,0,"sals, bols, chocolat"
piqueo snax original frito lay 260g,S/8.50,22 %,Frito Lays,Metro,pique snax original frit lay 260g,0,"sals, bols, chocolat"
frijol red kidney cuisine & co bolsa 500 gr,S/6.10,0,Cuisine & Co,Metro,frijol red kidney cuisin & co bols 500 gr,3,"500, bols, costeñ"
